benchmark	measure	model	layer	spearman	spearmanp	permutation_test	permutation_testp
dwug_en12	app+jsd	mbert	2	0.029	0.848	0.029	0.673
dwug_en12	app+apdp	mbert	2	0.261	0.08	0.261	0.178
dwug_en12	apd	mbert	3	0.389	0.007	0.389	0.02
dwug_en12	prt	mbert	3	0.295	0.047	0.295	0.099
dwug_en12	ap+jsd	mbert	3	0.161	0.286	0.161	0.119
dwug_en12	ap+apdp	mbert	3	0.37	0.011	0.37	0.059
dwug_en12	app+jsd	mbert	3	0.088	0.56	0.088	0.554
dwug_en12	app+apdp	mbert	3	0.268	0.072	0.268	0.02
dwug_en12	apd	mbert	4	0.41	0.005	0.41	0.02
dwug_en12	prt	mbert	4	0.29	0.05	0.29	0.079
dwug_en12	ap+jsd	mbert	4	0.33	0.025	0.33	0.079
dwug_en12	ap+apdp	mbert	4	0.363	0.013	0.363	0.04
dwug_en12	app+jsd	mbert	4	0.024	0.875	0.024	0.673
dwug_en12	app+apdp	mbert	4	0.228	0.128	0.228	0.119
dwug_en12	apd	mbert	5	0.412	0.004	0.412	0.02
dwug_en12	prt	mbert	5	0.315	0.033	0.315	0.04
dwug_en12	ap+jsd	mbert	5	0.221	0.139	0.221	0.198
dwug_en12	ap+apdp	mbert	5	0.373	0.011	0.373	0.079
dwug_en12	app+jsd	mbert	5	0.163	0.279	0.163	0.317
dwug_en12	app+apdp	mbert	5	0.078	0.607	0.078	0.594
dwug_en12	apd	mbert	6	0.395	0.007	0.395	0.04
dwug_en12	prt	mbert	6	0.353	0.016	0.353	0.02
dwug_en12	ap+jsd	mbert	6	0.208	0.166	0.208	0.257
dwug_en12	ap+apdp	mbert	6	0.3	0.043	0.3	0.119
dwug_en12	app+jsd	mbert	6	-0.073	0.629	-0.073	0.495
dwug_en12	app+apdp	mbert	6	0.25	0.094	0.25	0.119
dwug_en12	apd	mbert	7	0.419	0.004	0.419	0.02
dwug_en12	prt	mbert	7	0.383	0.009	0.383	0.04
dwug_en12	ap+jsd	mbert	7	0.362	0.014	0.362	0.02
dwug_en12	ap+apdp	mbert	7	0.328	0.026	0.328	0.02
dwug_en12	app+jsd	mbert	7	0.162	0.282	0.162	0.257
dwug_en12	app+apdp	mbert	7	0.328	0.026	0.328	0.079
dwug_en12	apd	mbert	8	0.408	0.005	0.408	0.04
dwug_en12	prt	mbert	8	0.383	0.009	0.383	0.02
dwug_en12	ap+jsd	mbert	8	0.418	0.004	0.418	0.02
dwug_en12	ap+apdp	mbert	8	0.324	0.028	0.324	0.079
dwug_en12	app+jsd	mbert	8	0.154	0.308	0.154	0.317
dwug_en12	app+apdp	mbert	8	0.312	0.035	0.312	0.02
dwug_en12	apd	mbert	9	0.406	0.005	0.406	0.02
dwug_en12	prt	mbert	9	0.358	0.015	0.358	0.02
dwug_en12	ap+jsd	mbert	9	0.357	0.015	0.357	0.079
dwug_en12	ap+apdp	mbert	9	0.406	0.005	0.406	0.02
dwug_en12	app+jsd	mbert	9	0.159	0.291	0.159	0.337
dwug_en12	app+apdp	mbert	9	0.509	0.0	0.509	0.02
dwug_en12	apd	mbert	10	0.348	0.018	0.348	0.059
dwug_en12	prt	mbert	10	0.355	0.016	0.355	0.04
dwug_en12	ap+jsd	mbert	10	0.317	0.032	0.317	0.04
dwug_en12	ap+apdp	mbert	10	0.39	0.007	0.39	0.02
dwug_en12	app+jsd	mbert	10	0.043	0.777	0.043	0.713
dwug_en12	app+apdp	mbert	10	0.301	0.042	0.301	0.059
dwug_en12	apd	mbert	11	0.305	0.039	0.305	0.119
dwug_en12	prt	mbert	11	0.342	0.02	0.342	0.02
dwug_en12	ap+jsd	mbert	11	0.338	0.021	0.338	0.04
dwug_en12	ap+apdp	mbert	11	0.347	0.018	0.347	0.079
dwug_en12	app+jsd	mbert	11	0.083	0.585	0.083	0.515
