benchmark	measure	model	layer	spearman	spearmanp	permutation_test	permutation_testp
dwug_sv12	ap+jsd	xlm-r	3	-0.177	0.249	-0.177	0.455
dwug_sv12	ap+apdp	xlm-r	3	0.114	0.463	0.114	0.475
dwug_sv12	app+jsd	xlm-r	3	-0.202	0.189	-0.202	0.158
dwug_sv12	app+apdp	xlm-r	3	0.106	0.492	0.106	0.495
dwug_sv12	apd	xlm-r	4	0.286	0.06	0.286	0.099
dwug_sv12	prt	xlm-r	4	0.087	0.575	0.087	0.614
dwug_sv12	ap+jsd	xlm-r	4	-0.172	0.263	-0.172	0.257
dwug_sv12	ap+apdp	xlm-r	4	0.107	0.489	0.107	0.614
dwug_sv12	app+jsd	xlm-r	4	0.077	0.617	0.077	0.475
dwug_sv12	app+apdp	xlm-r	4	0.312	0.039	0.312	0.04
dwug_sv12	apd	xlm-r	5	0.351	0.019	0.351	0.04
dwug_sv12	prt	xlm-r	5	0.129	0.404	0.129	0.436
dwug_sv12	ap+jsd	xlm-r	5	-0.125	0.418	-0.125	0.475
dwug_sv12	ap+apdp	xlm-r	5	0.342	0.023	0.342	0.02
dwug_sv12	app+jsd	xlm-r	5	0.15	0.331	0.15	0.317
dwug_sv12	app+apdp	xlm-r	5	0.3	0.048	0.3	0.04
dwug_sv12	apd	xlm-r	6	0.424	0.004	0.424	0.04
dwug_sv12	prt	xlm-r	6	0.171	0.268	0.171	0.218
dwug_sv12	ap+jsd	xlm-r	6	-0.07	0.651	-0.07	0.614
dwug_sv12	ap+apdp	xlm-r	6	0.363	0.015	0.363	0.02
dwug_sv12	app+jsd	xlm-r	6	-0.016	0.918	-0.016	0.871
dwug_sv12	app+apdp	xlm-r	6	0.335	0.026	0.335	0.059
dwug_sv12	apd	xlm-r	7	0.441	0.003	0.441	0.02
dwug_sv12	prt	xlm-r	7	0.184	0.232	0.184	0.337
dwug_sv12	ap+jsd	xlm-r	7	-0.155	0.316	-0.155	0.317
dwug_sv12	ap+apdp	xlm-r	7	0.273	0.073	0.273	0.079
dwug_sv12	app+jsd	xlm-r	7	0.108	0.487	0.108	0.475
dwug_sv12	app+apdp	xlm-r	7	0.414	0.005	0.414	0.04
dwug_sv12	apd	xlm-r	8	0.456	0.002	0.456	0.02
dwug_sv12	prt	xlm-r	8	0.196	0.203	0.196	0.198
dwug_sv12	ap+jsd	xlm-r	8	-0.082	0.599	-0.082	0.455
dwug_sv12	ap+apdp	xlm-r	8	0.416	0.005	0.416	0.04
dwug_sv12	app+jsd	xlm-r	8	-0.06	0.699	-0.06	0.554
dwug_sv12	app+apdp	xlm-r	8	0.321	0.034	0.321	0.04
dwug_sv12	apd	xlm-r	9	0.468	0.001	0.468	0.04
dwug_sv12	prt	xlm-r	9	0.247	0.106	0.247	0.059
dwug_sv12	ap+jsd	xlm-r	9	-0.195	0.204	-0.195	0.277
dwug_sv12	ap+apdp	xlm-r	9	0.311	0.04	0.311	0.099
dwug_sv12	app+jsd	xlm-r	9	-0.079	0.61	-0.079	0.614
dwug_sv12	app+apdp	xlm-r	9	0.203	0.185	0.203	0.218
dwug_sv12	apd	xlm-r	10	0.497	0.001	0.497	0.02
dwug_sv12	prt	xlm-r	10	0.223	0.145	0.223	0.119
dwug_sv12	ap+jsd	xlm-r	10	-0.21	0.171	-0.21	0.158
dwug_sv12	ap+apdp	xlm-r	10	0.322	0.033	0.322	0.099
dwug_sv12	app+jsd	xlm-r	10	0.141	0.363	0.141	0.376
dwug_sv12	app+apdp	xlm-r	10	0.148	0.337	0.148	0.317
dwug_sv12	apd	xlm-r	11	0.5	0.001	0.5	0.02
dwug_sv12	prt	xlm-r	11	0.245	0.109	0.245	0.119
dwug_sv12	ap+jsd	xlm-r	11	0.133	0.391	0.133	0.475
dwug_sv12	ap+apdp	xlm-r	11	0.536	0.0	0.536	0.02
dwug_sv12	app+jsd	xlm-r	11	-0.285	0.061	-0.285	0.099
dwug_sv12	app+apdp	xlm-r	11	0.343	0.023	0.343	0.02
dwug_sv12	apd	xlm-r	12	0.257	0.092	0.257	0.079
dwug_sv12	prt	xlm-r	12	0.02	0.899	0.02	0.911
dwug_sv12	ap+jsd	xlm-r	12	-0.076	0.623	-0.076	0.594
dwug_sv12	ap+apdp	xlm-r	12	0.473	0.001	0.473	0.02
dwug_sv12	app+jsd	xlm-r	12	0.002	0.987	0.002	1.0
dwug_sv12	app+apdp	xlm-r	12	0.129	0.404	0.129	0.436
dwug_sv12	apd	xl-lexeme	tuned	0.812	0.0	0.812	0.02
dwug_sv12	prt	xl-lexeme	tuned	0.696	0.0	0.696	0.02
dwug_sv12	ap+jsd	xl-lexeme	tuned	0.118	0.444	0.118	0.455
dwug_sv12	ap+apdp	xl-lexeme	tuned	0.682	0.0	0.682	0.02
dwug_sv12	app+jsd	xl-lexeme	tuned	-0.06	0.697	-0.06	0.871
dwug_sv12	app+apdp	xl-lexeme	tuned	0.475	0.001	0.475	0.02
dwug_la12	apd	mbert	1	0.153	0.346	0.153	0.416
dwug_la12	prt	mbert	1	0.289	0.071	0.289	0.059
dwug_la12	ap+jsd	mbert	1	-0.011	0.944	-0.011	0.911
dwug_la12	ap+apdp	mbert	1	-0.041	0.799	-0.041	0.931
dwug_la12	app+jsd	mbert	1	-0.12	0.459	-0.12	0.416
dwug_la12	app+apdp	mbert	1	0.028	0.864	0.028	0.851
dwug_la12	apd	mbert	2	0.119	0.464	0.119	0.436
dwug_la12	prt	mbert	2	0.286	0.073	0.286	0.119
dwug_la12	ap+jsd	mbert	2	0.008	0.959	0.008	0.95
dwug_la12	ap+apdp	mbert	2	-0.101	0.534	-0.101	0.752
dwug_la12	app+jsd	mbert	2	-0.1	0.539	-0.1	0.396
dwug_la12	app+apdp	mbert	2	0.018	0.913	0.018	0.911
dwug_la12	apd	mbert	3	0.047	0.772	0.047	0.792
dwug_la12	prt	mbert	3	0.277	0.084	0.277	0.099
dwug_la12	ap+jsd	mbert	3	-0.012	0.94	-0.012	0.911
dwug_la12	ap+apdp	mbert	3	-0.046	0.778	-0.046	0.693
dwug_la12	app+jsd	mbert	3	0.092	0.571	0.092	0.574
dwug_la12	app+apdp	mbert	3	0.026	0.873	0.026	0.97
dwug_la12	apd	mbert	4	0.022	0.892	0.022	0.812
dwug_la12	prt	mbert	4	0.255	0.112	0.255	0.119
dwug_la12	ap+jsd	mbert	4	-0.106	0.515	-0.106	0.475
dwug_la12	ap+apdp	mbert	4	-0.122	0.452	-0.122	0.396
dwug_la12	app+jsd	mbert	4	0.017	0.918	0.017	0.812
dwug_la12	app+apdp	mbert	4	0.03	0.856	0.03	0.713
dwug_la12	apd	mbert	5	-0.028	0.862	-0.028	0.772
dwug_la12	prt	mbert	5	0.232	0.15	0.232	0.178
dwug_la12	ap+jsd	mbert	5	-0.024	0.882	-0.024	0.871
dwug_la12	ap+apdp	mbert	5	-0.055	0.737	-0.055	0.733
dwug_la12	app+jsd	mbert	5	-0.031	0.849	-0.031	0.693
dwug_la12	app+apdp	mbert	5	-0.02	0.905	-0.02	0.99
dwug_la12	apd	mbert	6	-0.005	0.975	-0.005	0.95
dwug_la12	prt	mbert	6	0.257	0.109	0.257	0.099
dwug_la12	ap+jsd	mbert	6	-0.0	0.999	-0.0	0.95
dwug_la12	ap+apdp	mbert	6	-0.209	0.196	-0.209	0.198
dwug_la12	app+jsd	mbert	6	-0.203	0.209	-0.203	0.158
dwug_la12	app+apdp	mbert	6	-0.03	0.855	-0.03	0.911
dwug_la12	apd	mbert	7	-0.009	0.957	-0.009	1.0
dwug_la12	prt	mbert	7	0.304	0.057	0.304	0.02
dwug_la12	ap+jsd	mbert	7	-0.044	0.786	-0.044	0.931
dwug_la12	ap+apdp	mbert	7	-0.021	0.897	-0.021	0.931
dwug_la12	app+jsd	mbert	7	-0.18	0.267	-0.18	0.396
dwug_la12	app+apdp	mbert	7	0.139	0.394	0.139	0.455
dwug_la12	apd	mbert	8	0.023	0.886	0.023	0.97
dwug_la12	prt	mbert	8	0.292	0.067	0.292	0.139
dwug_la12	ap+jsd	mbert	8	-0.101	0.537	-0.101	0.634
dwug_la12	ap+apdp	mbert	8	-0.077	0.635	-0.077	0.653
dwug_la12	app+jsd	mbert	8	-0.142	0.384	-0.142	0.475
dwug_la12	app+apdp	mbert	8	0.091	0.578	0.091	0.634
dwug_la12	apd	mbert	9	0.044	0.785	0.044	0.871
dwug_la12	prt	mbert	9	0.311	0.051	0.311	0.04
dwug_la12	ap+jsd	mbert	9	0.12	0.46	0.12	0.396
dwug_la12	ap+apdp	mbert	9	-0.095	0.56	-0.095	0.594
dwug_la12	app+jsd	mbert	9	-0.107	0.511	-0.107	0.396
dwug_la12	app+apdp	mbert	9	-0.066	0.685	-0.066	0.594
dwug_la12	apd	mbert	10	0.008	0.959	0.008	0.871
dwug_la12	prt	mbert	10	0.28	0.08	0.28	0.079
dwug_la12	ap+jsd	mbert	10	0.124	0.445	0.124	0.495
dwug_la12	ap+apdp	mbert	10	-0.106	0.517	-0.106	0.515
dwug_la12	app+jsd	mbert	10	-0.212	0.189	-0.212	0.277
dwug_la12	app+apdp	mbert	10	-0.024	0.883	-0.024	0.931
dwug_la12	apd	mbert	11	0.023	0.889	0.023	0.792
dwug_la12	prt	mbert	11	0.298	0.062	0.298	0.079
dwug_la12	ap+jsd	mbert	11	0.132	0.415	0.132	0.475
dwug_la12	ap+apdp	mbert	11	0.002	0.989	0.002	0.95
dwug_la12	app+jsd	mbert	11	-0.111	0.494	-0.111	0.594
dwug_la12	app+apdp	mbert	11	-0.064	0.696	-0.064	0.653
dwug_la12	apd	mbert	12	0.102	0.531	0.102	0.396
dwug_la12	prt	mbert	12	0.38	0.016	0.38	0.059
dwug_la12	ap+jsd	mbert	12	0.277	0.083	0.277	0.119
dwug_la12	ap+apdp	mbert	12	0.037	0.822	0.037	0.95
dwug_la12	app+jsd	mbert	12	-0.256	0.111	-0.256	0.158
dwug_la12	app+apdp	mbert	12	-0.039	0.811	-0.039	0.812
dwug_la12	apd	xlm-r	1	0.073	0.656	0.073	0.574
dwug_la12	prt	xlm-r	1	0.303	0.057	0.303	0.079
dwug_la12	ap+jsd	xlm-r	1	0.409	0.009	0.409	0.02
dwug_la12	ap+apdp	xlm-r	1	0.128	0.432	0.128	0.396
dwug_la12	app+jsd	xlm-r	1	0.052	0.749	0.052	0.851
dwug_la12	app+apdp	xlm-r	1	-0.048	0.768	-0.048	0.653
dwug_la12	apd	xlm-r	2	0.006	0.97	0.006	0.911
dwug_la12	prt	xlm-r	2	0.263	0.101	0.263	0.158
dwug_la12	ap+jsd	xlm-r	2	0.215	0.183	0.215	0.119
dwug_la12	ap+apdp	xlm-r	2	-0.057	0.726	-0.057	0.772
dwug_la12	app+jsd	xlm-r	2	-0.005	0.974	-0.005	0.95
dwug_la12	app+apdp	xlm-r	2	-0.13	0.426	-0.13	0.535
dwug_la12	apd	xlm-r	3	-0.025	0.879	-0.025	0.99
dwug_la12	prt	xlm-r	3	0.271	0.091	0.271	0.139
dwug_la12	ap+jsd	xlm-r	3	0.218	0.177	0.218	0.198
dwug_la12	ap+apdp	xlm-r	3	-0.054	0.74	-0.054	0.713
dwug_la12	app+jsd	xlm-r	3	0.199	0.218	0.199	0.317
dwug_la12	app+apdp	xlm-r	3	0.019	0.909	0.019	0.891
dwug_la12	apd	xlm-r	4	-0.01	0.949	-0.01	0.931
dwug_la12	prt	xlm-r	4	0.297	0.062	0.297	0.099
dwug_la12	ap+jsd	xlm-r	4	0.253	0.115	0.253	0.139
dwug_la12	ap+apdp	xlm-r	4	0.006	0.971	0.006	0.871
dwug_la12	app+jsd	xlm-r	4	0.235	0.144	0.235	0.238
dwug_la12	app+apdp	xlm-r	4	0.108	0.506	0.108	0.475
dwug_la12	apd	xlm-r	5	0.043	0.794	0.043	0.713
dwug_la12	prt	xlm-r	5	0.322	0.043	0.322	0.099
dwug_la12	ap+jsd	xlm-r	5	0.281	0.079	0.281	0.198
dwug_la12	ap+apdp	xlm-r	5	-0.018	0.911	-0.018	0.832
dwug_la12	app+jsd	xlm-r	5	0.081	0.62	0.081	0.495
dwug_la12	app+apdp	xlm-r	5	-0.037	0.82	-0.037	0.832
dwug_la12	apd	xlm-r	6	0.061	0.708	0.061	0.653
dwug_la12	prt	xlm-r	6	0.35	0.027	0.35	0.04
dwug_la12	ap+jsd	xlm-r	6	0.286	0.074	0.286	0.059
dwug_la12	ap+apdp	xlm-r	6	-0.04	0.808	-0.04	0.733
dwug_la12	app+jsd	xlm-r	6	0.106	0.514	0.106	0.535
dwug_la12	app+apdp	xlm-r	6	-0.05	0.757	-0.05	0.752
dwug_la12	apd	xlm-r	7	0.073	0.654	0.073	0.713
dwug_la12	prt	xlm-r	7	0.349	0.027	0.349	0.059
dwug_la12	ap+jsd	xlm-r	7	0.233	0.148	0.233	0.178
dwug_la12	ap+apdp	xlm-r	7	-0.007	0.967	-0.007	0.97
dwug_la12	app+jsd	xlm-r	7	0.018	0.912	0.018	0.673
dwug_la12	app+apdp	xlm-r	7	0.106	0.515	0.106	0.634
dwug_la12	apd	xlm-r	8	0.043	0.791	0.043	0.911
dwug_la12	prt	xlm-r	8	0.359	0.023	0.359	0.059
dwug_la12	ap+jsd	xlm-r	8	0.26	0.105	0.26	0.099
dwug_la12	ap+apdp	xlm-r	8	0.008	0.96	0.008	0.97
dwug_la12	app+jsd	xlm-r	8	0.104	0.524	0.104	0.495
dwug_la12	app+apdp	xlm-r	8	0.038	0.815	0.038	0.693
dwug_la12	apd	xlm-r	9	-0.047	0.775	-0.047	0.871
dwug_la12	prt	xlm-r	9	0.319	0.045	0.319	0.079
dwug_la12	ap+jsd	xlm-r	9	0.153	0.345	0.153	0.317
dwug_la12	ap+apdp	xlm-r	9	-0.011	0.948	-0.011	0.891
dwug_la12	app+jsd	xlm-r	9	0.065	0.692	0.065	0.733
dwug_la12	app+apdp	xlm-r	9	0.104	0.524	0.104	0.574
dwug_la12	apd	xlm-r	10	-0.082	0.613	-0.082	0.594
dwug_la12	prt	xlm-r	10	0.329	0.038	0.329	0.04
dwug_la12	ap+jsd	xlm-r	10	0.381	0.015	0.381	0.059
dwug_la12	ap+apdp	xlm-r	10	0.158	0.33	0.158	0.317
dwug_la12	app+jsd	xlm-r	10	0.059	0.716	0.059	0.693
dwug_la12	app+apdp	xlm-r	10	0.187	0.249	0.187	0.257
dwug_la12	apd	xlm-r	11	-0.069	0.674	-0.069	0.653
dwug_la12	prt	xlm-r	11	0.308	0.053	0.308	0.02
dwug_la12	ap+jsd	xlm-r	11	0.266	0.097	0.266	0.139
dwug_la12	ap+apdp	xlm-r	11	0.076	0.641	0.076	0.634
dwug_la12	app+jsd	xlm-r	11	-0.011	0.946	-0.011	0.733
dwug_la12	app+apdp	xlm-r	11	-0.111	0.494	-0.111	0.495
dwug_la12	apd	xlm-r	12	0.151	0.353	0.151	0.535
dwug_la12	prt	xlm-r	12	0.424	0.006	0.424	0.02
dwug_la12	ap+jsd	xlm-r	12	0.398	0.011	0.398	0.02
dwug_la12	ap+apdp	xlm-r	12	0.06	0.712	0.06	0.535
dwug_la12	app+jsd	xlm-r	12	0.289	0.071	0.289	0.099
dwug_la12	app+apdp	xlm-r	12	-0.064	0.693	-0.064	0.594
dwug_la12	apd	xl-lexeme	tuned	0.231	0.152	0.231	0.139
dwug_la12	prt	xl-lexeme	tuned	0.506	0.001	0.506	0.02
dwug_la12	ap+jsd	xl-lexeme	tuned	0.033	0.842	0.033	0.891
dwug_la12	ap+apdp	xl-lexeme	tuned	-0.147	0.366	-0.147	0.356
dwug_la12	app+jsd	xl-lexeme	tuned	0.285	0.074	0.285	0.198
dwug_la12	app+apdp	xl-lexeme	tuned	0.236	0.142	0.236	0.218
dwug_de12	apd	bert	1	0.144	0.318	0.144	0.297
dwug_de12	prt	bert	1	0.133	0.357	0.133	0.376
dwug_de12	ap+jsd	bert	1	-0.108	0.455	-0.108	0.436
dwug_de12	ap+apdp	bert	1	0.074	0.607	0.074	0.752
dwug_de12	app+jsd	bert	1	-0.156	0.278	-0.156	0.297
dwug_de12	app+apdp	bert	1	0.147	0.309	0.147	0.337
dwug_de12	apd	bert	2	0.155	0.282	0.155	0.257
dwug_de12	prt	bert	2	0.217	0.13	0.217	0.218
dwug_de12	ap+jsd	bert	2	0.113	0.436	0.113	0.416
dwug_de12	ap+apdp	bert	2	0.185	0.199	0.185	0.238
dwug_de12	app+jsd	bert	2	-0.277	0.051	-0.277	0.059
dwug_de12	app+apdp	bert	2	0.106	0.466	0.106	0.455
dwug_de12	apd	bert	3	0.164	0.256	0.164	0.416
dwug_de12	prt	bert	3	0.267	0.061	0.267	0.099
dwug_de12	ap+jsd	bert	3	0.007	0.963	0.007	0.891
dwug_de12	ap+apdp	bert	3	0.139	0.336	0.139	0.257
dwug_de12	app+jsd	bert	3	-0.205	0.153	-0.205	0.178
dwug_de12	app+apdp	bert	3	0.115	0.428	0.115	0.356
dwug_de12	apd	bert	4	0.176	0.222	0.176	0.218
dwug_de12	prt	bert	4	0.297	0.036	0.297	0.079
dwug_de12	ap+jsd	bert	4	-0.041	0.779	-0.041	0.792
dwug_de12	ap+apdp	bert	4	0.122	0.4	0.122	0.297
dwug_de12	app+jsd	bert	4	-0.09	0.535	-0.09	0.495
dwug_de12	app+apdp	bert	4	0.126	0.383	0.126	0.277
dwug_de12	apd	bert	5	0.237	0.097	0.237	0.079
dwug_de12	prt	bert	5	0.343	0.015	0.343	0.02
dwug_de12	ap+jsd	bert	5	0.143	0.323	0.143	0.376
dwug_de12	ap+apdp	bert	5	0.193	0.18	0.193	0.119
dwug_de12	app+jsd	bert	5	-0.053	0.714	-0.053	0.851
dwug_de12	app+apdp	bert	5	0.19	0.186	0.19	0.119
dwug_de12	apd	bert	6	0.309	0.029	0.309	0.04
dwug_de12	prt	bert	6	0.379	0.007	0.379	0.02
dwug_de12	ap+jsd	bert	6	0.243	0.09	0.243	0.158
dwug_de12	ap+apdp	bert	6	0.294	0.038	0.294	0.079
dwug_de12	app+jsd	bert	6	0.122	0.4	0.122	0.495
dwug_de12	app+apdp	bert	6	0.293	0.039	0.293	0.02
dwug_de12	apd	bert	7	0.335	0.017	0.335	0.02
dwug_de12	prt	bert	7	0.4	0.004	0.4	0.02
dwug_de12	ap+jsd	bert	7	0.284	0.045	0.284	0.079
dwug_de12	ap+apdp	bert	7	0.242	0.09	0.242	0.059
dwug_de12	app+jsd	bert	7	0.055	0.705	0.055	0.772
dwug_de12	app+apdp	bert	7	0.235	0.101	0.235	0.139
dwug_de12	apd	bert	8	0.389	0.005	0.389	0.02
dwug_de12	prt	bert	8	0.398	0.004	0.398	0.04
dwug_de12	ap+jsd	bert	8	0.417	0.003	0.417	0.02
dwug_de12	ap+apdp	bert	8	0.332	0.018	0.332	0.02
dwug_de12	app+jsd	bert	8	0.123	0.395	0.123	0.376
dwug_de12	app+apdp	bert	8	0.344	0.015	0.344	0.02
dwug_de12	apd	bert	9	0.427	0.002	0.427	0.02
dwug_de12	prt	bert	9	0.39	0.005	0.39	0.02
dwug_de12	ap+jsd	bert	9	0.339	0.016	0.339	0.059
dwug_de12	ap+apdp	bert	9	0.328	0.02	0.328	0.059
dwug_de12	app+jsd	bert	9	0.28	0.049	0.28	0.059
dwug_de12	app+apdp	bert	9	0.353	0.012	0.353	0.02
dwug_de12	apd	bert	10	0.354	0.012	0.354	0.059
dwug_de12	prt	bert	10	0.38	0.006	0.38	0.04
dwug_de12	ap+jsd	bert	10	0.393	0.005	0.393	0.02
dwug_de12	ap+apdp	bert	10	0.247	0.083	0.247	0.139
dwug_de12	app+jsd	bert	10	0.043	0.764	0.043	0.832
dwug_de12	app+apdp	bert	10	0.315	0.026	0.315	0.02
dwug_de12	apd	bert	11	0.275	0.054	0.275	0.079
dwug_de12	prt	bert	11	0.412	0.003	0.412	0.02
dwug_de12	ap+jsd	bert	11	0.465	0.001	0.465	0.02
dwug_de12	ap+apdp	bert	11	0.327	0.021	0.327	0.059
dwug_de12	app+jsd	bert	11	0.001	0.996	0.001	0.891
dwug_de12	app+apdp	bert	11	0.258	0.071	0.258	0.059
dwug_de12	apd	bert	12	0.271	0.057	0.271	0.079
dwug_de12	prt	bert	12	0.422	0.002	0.422	0.02
dwug_de12	ap+jsd	bert	12	0.469	0.001	0.469	0.02
dwug_de12	ap+apdp	bert	12	0.349	0.013	0.349	0.02
dwug_de12	app+jsd	bert	12	0.311	0.028	0.311	0.04
dwug_de12	app+apdp	bert	12	0.355	0.012	0.355	0.04
dwug_de12	apd	mbert	1	0.218	0.129	0.218	0.178
dwug_de12	prt	mbert	1	0.162	0.261	0.162	0.297
dwug_de12	ap+jsd	mbert	1	-0.087	0.547	-0.087	0.614
dwug_de12	ap+apdp	mbert	1	0.159	0.27	0.159	0.317
dwug_de12	app+jsd	mbert	1	-0.162	0.261	-0.162	0.158
dwug_de12	app+apdp	mbert	1	0.204	0.155	0.204	0.198
dwug_de12	apd	mbert	2	0.208	0.148	0.208	0.158
dwug_de12	prt	mbert	2	0.198	0.169	0.198	0.178
dwug_de12	ap+jsd	mbert	2	-0.131	0.365	-0.131	0.337
dwug_de12	ap+apdp	mbert	2	0.112	0.438	0.112	0.317
dwug_de12	app+jsd	mbert	2	-0.151	0.295	-0.151	0.158
dwug_de12	app+apdp	mbert	2	0.143	0.32	0.143	0.376
dwug_de12	apd	mbert	3	0.232	0.105	0.232	0.139
dwug_de12	prt	mbert	3	0.23	0.108	0.23	0.198
dwug_de12	ap+jsd	mbert	3	-0.043	0.766	-0.043	0.752
dwug_de12	ap+apdp	mbert	3	0.215	0.134	0.215	0.198
dwug_de12	app+jsd	mbert	3	-0.112	0.439	-0.112	0.337
dwug_de12	app+apdp	mbert	3	0.12	0.405	0.12	0.396
dwug_de12	apd	mbert	4	0.241	0.092	0.241	0.059
dwug_de12	prt	mbert	4	0.285	0.045	0.285	0.04
dwug_de12	ap+jsd	mbert	4	0.088	0.543	0.088	0.693
dwug_de12	ap+apdp	mbert	4	0.209	0.146	0.209	0.178
dwug_de12	app+jsd	mbert	4	-0.081	0.575	-0.081	0.495
dwug_de12	app+apdp	mbert	4	0.067	0.643	0.067	0.673
dwug_de12	apd	mbert	5	0.344	0.015	0.344	0.02
dwug_de12	prt	mbert	5	0.384	0.006	0.384	0.04
dwug_de12	ap+jsd	mbert	5	0.235	0.101	0.235	0.04
dwug_de12	ap+apdp	mbert	5	0.35	0.013	0.35	0.02
dwug_de12	app+jsd	mbert	5	-0.056	0.7	-0.056	0.713
dwug_de12	app+apdp	mbert	5	0.173	0.23	0.173	0.158
dwug_de12	apd	mbert	6	0.397	0.004	0.397	0.02
dwug_de12	prt	mbert	6	0.421	0.002	0.421	0.04
dwug_de12	ap+jsd	mbert	6	0.372	0.008	0.372	0.059
dwug_de12	ap+apdp	mbert	6	0.423	0.002	0.423	0.04
dwug_de12	app+jsd	mbert	6	0.068	0.64	0.068	0.871
dwug_de12	app+apdp	mbert	6	0.294	0.039	0.294	0.04
dwug_de12	apd	mbert	7	0.434	0.002	0.434	0.02
dwug_de12	prt	mbert	7	0.437	0.002	0.437	0.02
dwug_de12	ap+jsd	mbert	7	0.443	0.001	0.443	0.02
dwug_de12	ap+apdp	mbert	7	0.514	0.0	0.514	0.02
dwug_de12	app+jsd	mbert	7	-0.026	0.855	-0.026	0.97
dwug_de12	app+apdp	mbert	7	0.253	0.077	0.253	0.059
dwug_de12	apd	mbert	8	0.481	0.0	0.481	0.02
dwug_de12	prt	mbert	8	0.468	0.001	0.468	0.02
dwug_de12	ap+jsd	mbert	8	0.353	0.012	0.353	0.04
dwug_de12	ap+apdp	mbert	8	0.419	0.002	0.419	0.02
dwug_de12	app+jsd	mbert	8	0.145	0.314	0.145	0.297
dwug_de12	app+apdp	mbert	8	0.341	0.015	0.341	0.02
dwug_de12	apd	mbert	9	0.423	0.002	0.423	0.02
dwug_de12	prt	mbert	9	0.469	0.001	0.469	0.02
dwug_de12	ap+jsd	mbert	9	0.322	0.022	0.322	0.04
dwug_de12	ap+apdp	mbert	9	0.362	0.01	0.362	0.02
dwug_de12	app+jsd	mbert	9	0.138	0.339	0.138	0.238
dwug_de12	app+apdp	mbert	9	0.299	0.035	0.299	0.04
dwug_de12	apd	mbert	10	0.333	0.018	0.333	0.02
dwug_de12	prt	mbert	10	0.454	0.001	0.454	0.02
dwug_de12	ap+jsd	mbert	10	0.328	0.02	0.328	0.059
dwug_de12	ap+apdp	mbert	10	0.432	0.002	0.432	0.02
dwug_de12	app+jsd	mbert	10	0.195	0.175	0.195	0.317
dwug_de12	app+apdp	mbert	10	0.407	0.003	0.407	0.02
dwug_de12	apd	mbert	11	0.315	0.026	0.315	0.02
dwug_de12	prt	mbert	11	0.43	0.002	0.43	0.02
dwug_de12	ap+jsd	mbert	11	0.275	0.053	0.275	0.079
dwug_de12	ap+apdp	mbert	11	0.32	0.023	0.32	0.04
dwug_de12	app+jsd	mbert	11	0.045	0.757	0.045	0.891
dwug_de12	app+apdp	mbert	11	0.381	0.006	0.381	0.02
dwug_de12	apd	mbert	12	0.398	0.004	0.398	0.04
dwug_de12	prt	mbert	12	0.436	0.002	0.436	0.02
dwug_de12	ap+jsd	mbert	12	0.28	0.049	0.28	0.178
dwug_de12	ap+apdp	mbert	12	0.343	0.015	0.343	0.02
dwug_de12	app+jsd	mbert	12	0.128	0.376	0.128	0.495
dwug_de12	app+apdp	mbert	12	0.312	0.028	0.312	0.079
dwug_de12	apd	xlm-r	1	0.27	0.058	0.27	0.059
dwug_de12	prt	xlm-r	1	0.122	0.399	0.122	0.376
dwug_de12	ap+jsd	xlm-r	1	-0.04	0.781	-0.04	0.832
dwug_de12	ap+apdp	xlm-r	1	0.273	0.055	0.273	0.04
dwug_de12	app+jsd	xlm-r	1	-0.185	0.199	-0.185	0.218
dwug_de12	app+apdp	xlm-r	1	0.219	0.126	0.219	0.198
dwug_de12	apd	xlm-r	2	0.319	0.024	0.319	0.099
dwug_de12	prt	xlm-r	2	0.125	0.388	0.125	0.356
dwug_de12	ap+jsd	xlm-r	2	-0.017	0.909	-0.017	0.891
dwug_de12	ap+apdp	xlm-r	2	0.314	0.026	0.314	0.059
dwug_de12	app+jsd	xlm-r	2	-0.184	0.201	-0.184	0.238
dwug_de12	app+apdp	xlm-r	2	0.292	0.039	0.292	0.059
dwug_de12	apd	xlm-r	3	0.301	0.034	0.301	0.059
dwug_de12	prt	xlm-r	3	0.141	0.327	0.141	0.238
dwug_de12	ap+jsd	xlm-r	3	0.12	0.405	0.12	0.475
dwug_de12	ap+apdp	xlm-r	3	0.363	0.01	0.363	0.04
dwug_de12	app+jsd	xlm-r	3	0.163	0.258	0.163	0.297
dwug_de12	app+apdp	xlm-r	3	0.474	0.001	0.474	0.02
dwug_de12	apd	xlm-r	4	0.326	0.021	0.326	0.079
dwug_de12	prt	xlm-r	4	0.204	0.155	0.204	0.198
dwug_de12	ap+jsd	xlm-r	4	0.054	0.709	0.054	0.594
dwug_de12	ap+apdp	xlm-r	4	0.405	0.004	0.405	0.02
dwug_de12	app+jsd	xlm-r	4	-0.005	0.974	-0.005	0.911
dwug_de12	app+apdp	xlm-r	4	0.424	0.002	0.424	0.02
dwug_de12	apd	xlm-r	5	0.414	0.003	0.414	0.02
dwug_de12	prt	xlm-r	5	0.294	0.038	0.294	0.04
dwug_de12	ap+jsd	xlm-r	5	0.196	0.173	0.196	0.317
dwug_de12	ap+apdp	xlm-r	5	0.484	0.0	0.484	0.02
dwug_de12	app+jsd	xlm-r	5	0.23	0.109	0.23	0.139
dwug_de12	app+apdp	xlm-r	5	0.509	0.0	0.509	0.02
dwug_de12	apd	xlm-r	6	0.471	0.001	0.471	0.02
dwug_de12	prt	xlm-r	6	0.357	0.011	0.357	0.02
